Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 5A2111E02041

Model Number: AP8853
RPDU Serial Number: 5A2111E02646
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	09:34:31	apc48764F	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:5A2111E02646)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/10/2025	00:51:19	1.10	1.12	26918.2	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/10/2025	00:41:19	1.10	1.12	26918.0	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/10/2025	00:31:19	1.12	1.13	26917.9	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/10/2025	00:21:19	1.10	1.12	26917.7	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/10/2025	00:11:19	1.10	1.12	26917.5	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/10/2025	00:01:19	1.10	1.12	26917.3	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	23:51:19	1.10	1.12	26917.1	   	   	5.1	5.2	2.1	3.1	2.1	3.1	
02/09/2025	23:41:18	1.12	1.12	26916.9	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/09/2025	23:31:18	1.12	1.15	26916.8	   	   	5.2	5.3	2.1	3.1	2.2	3.2	
02/09/2025	23:21:18	1.12	1.12	26916.6	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/09/2025	23:11:18	1.12	1.15	26916.4	   	   	5.2	5.3	2.1	3.1	2.2	3.2	
02/09/2025	23:01:18	1.12	1.12	26916.2	   	   	5.2	5.2	2.1	3.1	2.1	3.2	
02/09/2025	22:51:18	1.12	1.15	26916.0	   	   	5.2	5.3	2.1	3.2	2.2	3.2	
02/09/2025	22:41:18	1.12	1.15	26915.8	   	   	5.2	5.3	2.1	3.2	2.1	3.2	
02/09/2025	22:31:18	1.12	1.15	26915.6	   	   	5.2	5.3	2.1	3.2	2.2	3.2	
02/09/2025	22:21:18	1.12	1.15	26915.5	   	   	5.2	5.3	2.1	3.2	2.2	3.2	
02/09/2025	22:11:18	1.15	1.17	26915.3	   	   	5.3	5.4	2.2	3.2	2.2	3.2	
02/09/2025	22:01:18	1.12	1.17	26915.1	   	   	5.2	5.4	2.1	3.2	2.2	3.2	
02/09/2025	21:51:18	1.15	1.17	26914.9	   	   	5.3	5.4	2.1	3.2	2.2	3.2	
02/09/2025	21:41:18	1.14	1.17	26914.7	   	   	5.3	5.4	2.2	3.2	2.2	3.3	
02/09/2025	21:31:18	1.14	1.17	26914.5	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	21:21:18	1.14	1.17	26914.3	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
02/09/2025	21:11:18	1.17	1.17	26914.1	   	   	5.4	5.4	2.2	3.2	2.2	3.3	
02/09/2025	21:01:18	1.15	1.17	26913.9	   	   	5.3	5.4	2.1	3.2	2.2	3.3	
