Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 0A2110G04928

Model Number: AP8853
RPDU Serial Number: 0A2110G05188
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	17:54:56	apc488888	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:0A2110G05188)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/10/2025	09:14:53	0.63	0.63	12674.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	09:04:53	0.63	0.63	12674.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	08:54:53	0.63	0.63	12674.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	08:44:53	0.63	0.63	12674.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	08:34:53	0.63	0.63	12674.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	08:24:53	0.63	0.63	12674.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	08:14:53	0.63	0.63	12673.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	08:04:53	0.63	0.63	12673.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	07:54:53	0.63	0.63	12673.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	07:44:53	0.63	0.65	12673.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	07:34:53	0.63	0.63	12673.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	07:24:52	0.63	0.65	12673.4	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	07:14:52	0.63	0.63	12673.3	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/10/2025	07:04:52	0.63	0.65	12673.2	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	06:54:52	0.63	0.65	12673.1	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	06:44:52	0.65	0.65	12673.0	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/10/2025	06:34:52	0.63	0.65	12672.9	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	06:24:52	0.65	0.65	12672.8	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/10/2025	06:14:52	0.63	0.65	12672.7	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	06:04:52	0.63	0.65	12672.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	05:54:52	0.65	0.65	12672.5	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/10/2025	05:44:52	0.63	0.65	12672.4	   	   	3.0	3.1	2.9	0.0	3.1	0.0	
02/10/2025	05:34:52	0.63	0.65	12672.3	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	05:24:52	0.65	0.65	12672.2	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/10/2025	05:14:52	0.63	0.65	12672.1	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	05:04:52	0.63	0.65	12672.0	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	04:54:51	0.65	0.65	12671.9	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/10/2025	04:44:51	0.63	0.65	12671.7	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	04:34:51	0.63	0.65	12671.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	04:24:51	0.63	0.65	12671.5	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	04:14:51	0.65	0.65	12671.4	   	   	3.1	3.1	3.0	0.0	3.1	0.0	
02/10/2025	04:04:51	0.63	0.65	12671.3	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	03:54:51	0.65	0.65	12671.2	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/10/2025	03:44:51	0.65	0.65	12671.1	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/10/2025	03:34:51	0.63	0.65	12671.0	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	03:24:51	0.63	0.63	12670.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/10/2025	03:14:51	0.63	0.65	12670.8	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	03:04:51	0.63	0.65	12670.7	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	02:54:51	0.65	0.65	12670.6	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/10/2025	02:44:51	0.63	0.65	12670.5	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	02:34:51	0.63	0.65	12670.4	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	02:24:51	0.65	0.65	12670.3	   	   	3.1	3.1	3.0	0.0	3.1	0.0	
02/10/2025	02:14:50	0.63	0.65	12670.2	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	02:04:50	0.63	0.65	12670.1	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	01:54:50	0.65	0.65	12670.0	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/10/2025	01:44:50	0.63	0.65	12669.9	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	01:34:50	0.63	0.65	12669.8	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	01:24:50	0.65	0.65	12669.7	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/10/2025	01:14:50	0.63	0.65	12669.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	01:04:50	0.63	0.65	12669.4	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/10/2025	00:54:50	0.65	0.65	12669.3	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
