Network Management Card AOS v6.9.6
RPDU 2g APP v6.9.6
NMC Serial Number: 0A2110G04928

Model Number: AP8853
RPDU Serial Number: 0A2110G05188
Hardware Revision: 02
NMC BM Version: 1.0.9

Date     	Time     	Name	Contact	Location	System IP
02/10/2025	17:54:56	apc488888	Unknown	Unknown	0.0.0.0

		RPDU 1* (SN:0A2110G05188)   	   	   	   	   	   	   	Bank I.A	   	Bank I Max.A	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A	1	2	1	2
02/09/2025	05:44:44	0.65	0.65	12657.5	   	   	3.1	3.1	3.0	0.0	3.1	0.0	
02/09/2025	05:34:44	0.63	0.65	12657.4	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	05:24:43	0.65	0.65	12657.3	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	05:14:43	0.63	0.65	12657.2	   	   	3.0	3.1	2.9	0.0	3.1	0.0	
02/09/2025	05:04:43	0.63	0.63	12657.1	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/09/2025	04:54:43	0.63	0.65	12657.0	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	04:44:43	0.63	0.65	12656.9	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	04:34:43	0.65	0.65	12656.8	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	04:24:43	0.63	0.65	12656.7	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	04:14:43	0.63	0.65	12656.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	04:04:43	0.65	0.65	12656.5	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	03:54:43	0.63	0.65	12656.4	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	03:44:43	0.65	0.65	12656.3	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	03:34:43	0.63	0.65	12656.2	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	03:24:43	0.63	0.65	12656.1	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	03:14:43	0.65	0.65	12656.0	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	03:04:43	0.63	0.65	12655.8	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	02:54:43	0.65	0.65	12655.7	   	   	3.1	3.1	3.0	0.0	3.1	0.0	
02/09/2025	02:44:42	0.63	0.65	12655.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	02:34:42	0.63	0.65	12655.5	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	02:24:42	0.65	0.65	12655.4	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	02:14:42	0.63	0.65	12655.3	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	02:04:42	0.63	0.63	12655.2	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/09/2025	01:54:42	0.63	0.65	12655.1	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	01:44:42	0.63	0.65	12655.0	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	01:34:42	0.65	0.65	12654.9	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	01:24:42	0.63	0.65	12654.8	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	01:14:42	0.63	0.65	12654.7	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	01:04:42	0.65	0.65	12654.6	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	00:54:42	0.63	0.65	12654.5	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	00:44:42	0.63	0.63	12654.4	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/09/2025	00:34:42	0.63	0.65	12654.3	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	00:24:42	0.63	0.65	12654.2	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/09/2025	00:14:42	0.65	0.65	12654.1	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/09/2025	00:04:41	0.63	0.65	12654.0	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	23:54:41	0.63	0.63	12653.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	23:44:41	0.63	0.65	12653.8	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	23:34:41	0.63	0.65	12653.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	23:24:41	0.63	0.65	12653.5	   	   	3.0	3.1	3.0	0.0	3.0	0.0	
02/08/2025	23:14:41	0.63	0.63	12653.4	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/08/2025	23:04:41	0.63	0.65	12653.3	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	22:54:41	0.63	0.63	12653.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	22:44:41	0.63	0.65	12653.1	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	22:34:41	0.63	0.63	12653.0	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/08/2025	22:24:41	0.63	0.65	12652.9	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	22:14:41	0.63	0.63	12652.8	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/08/2025	22:04:41	0.63	0.63	12652.7	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/08/2025	21:54:41	0.63	0.65	12652.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	21:44:41	0.63	0.63	12652.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	21:34:41	0.63	0.63	12652.4	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/08/2025	21:24:41	0.63	0.63	12652.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	21:14:41	0.63	0.65	12652.2	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	21:04:40	0.65	0.65	12652.1	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/08/2025	20:54:40	0.63	0.63	12652.0	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/08/2025	20:44:40	0.63	0.63	12651.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	20:34:40	0.63	0.63	12651.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	20:24:40	0.63	0.63	12651.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	20:14:40	0.63	0.63	12651.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	20:04:40	0.63	0.63	12651.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	19:54:40	0.63	0.63	12651.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	19:44:40	0.63	0.63	12651.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	19:34:40	0.63	0.63	12651.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	19:24:40	0.63	0.63	12651.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	19:14:40	0.63	0.63	12651.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	19:04:40	0.63	0.63	12650.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	18:54:40	0.63	0.63	12650.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	18:44:40	0.63	0.63	12650.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	18:34:39	0.63	0.63	12650.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	18:24:39	0.63	0.63	12650.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	18:14:39	0.63	0.63	12650.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	18:04:39	0.63	0.63	12650.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	17:54:39	0.63	0.63	12650.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	17:44:39	0.63	0.63	12650.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	17:34:39	0.63	0.63	12649.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	17:24:39	0.63	0.63	12649.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	17:14:39	0.63	0.63	12649.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	17:04:39	0.63	0.63	12649.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	16:54:39	0.63	0.63	12649.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	16:44:39	0.63	0.63	12649.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	16:34:39	0.63	0.63	12649.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	16:24:39	0.63	0.63	12649.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	16:14:39	0.63	0.63	12649.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	16:04:39	0.63	0.63	12649.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	15:54:39	0.63	0.63	12648.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	15:44:38	0.63	0.63	12648.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	15:34:38	0.63	0.63	12648.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	15:24:38	0.63	0.63	12648.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	15:14:38	0.63	0.63	12648.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	15:04:38	0.63	0.63	12648.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	14:54:38	0.63	0.63	12648.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	14:44:38	0.63	0.63	12648.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	14:34:38	0.63	0.63	12648.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	14:24:38	0.63	0.63	12648.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	14:14:38	0.63	0.63	12647.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	14:04:38	0.63	0.63	12647.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	13:54:38	0.63	0.63	12647.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	13:44:38	0.63	0.63	12647.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	13:34:38	0.63	0.63	12647.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	13:24:38	0.63	0.63	12647.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	13:14:38	0.63	0.63	12647.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	13:04:38	0.63	0.63	12647.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	12:54:38	0.63	0.63	12647.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	12:44:37	0.63	0.63	12647.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	12:34:37	0.63	0.63	12646.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	12:24:37	0.63	0.63	12646.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	12:14:37	0.63	0.63	12646.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	12:04:37	0.63	0.63	12646.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	11:54:37	0.63	0.63	12646.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	11:44:37	0.63	0.63	12646.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	11:34:37	0.63	0.63	12646.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	11:24:37	0.63	0.63	12646.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	11:14:37	0.63	0.63	12646.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	11:04:37	0.63	0.63	12645.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	10:54:37	0.63	0.63	12645.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	10:44:37	0.63	0.63	12645.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	10:34:37	0.63	0.63	12645.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	10:24:37	0.63	0.63	12645.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	10:14:37	0.63	0.63	12645.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	10:04:37	0.63	0.63	12645.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	09:54:37	0.63	0.63	12645.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	09:44:36	0.63	0.63	12645.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	09:34:36	0.63	0.63	12645.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	09:24:36	0.63	0.63	12644.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	09:14:36	0.63	0.63	12644.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	09:04:36	0.63	0.63	12644.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	08:54:36	0.63	0.63	12644.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	08:44:36	0.63	0.63	12644.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	08:34:36	0.63	0.63	12644.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	08:24:36	0.63	0.63	12644.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	08:14:36	0.63	0.63	12644.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	08:04:36	0.63	0.63	12644.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	07:54:36	0.63	0.63	12644.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	07:44:36	0.63	0.63	12643.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	07:34:36	0.63	0.63	12643.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	07:24:36	0.63	0.63	12643.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	07:14:36	0.63	0.63	12643.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	07:04:36	0.63	0.63	12643.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	06:54:35	0.63	0.63	12643.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	06:44:35	0.63	0.63	12643.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	06:34:35	0.63	0.63	12643.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	06:24:35	0.63	0.63	12643.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	06:14:35	0.63	0.63	12643.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	06:04:35	0.63	0.63	12642.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	05:54:35	0.63	0.63	12642.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	05:44:35	0.63	0.63	12642.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	05:34:35	0.63	0.63	12642.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	05:24:35	0.63	0.63	12642.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	05:14:35	0.63	0.63	12642.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	05:04:35	0.63	0.63	12642.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	04:54:35	0.63	0.63	12642.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	04:44:35	0.63	0.63	12642.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	04:34:35	0.63	0.63	12641.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	04:24:35	0.63	0.63	12641.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	04:14:35	0.63	0.63	12641.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	04:04:35	0.63	0.63	12641.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	03:54:35	0.63	0.63	12641.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	03:44:34	0.63	0.63	12641.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	03:34:34	0.63	0.63	12641.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	03:24:34	0.63	0.63	12641.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	03:14:34	0.63	0.65	12641.1	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	03:04:34	0.65	0.65	12641.0	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/08/2025	02:54:34	0.63	0.65	12640.9	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	02:44:34	0.63	0.63	12640.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/08/2025	02:34:34	0.63	0.65	12640.7	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	02:24:34	0.63	0.65	12640.6	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	02:14:34	0.65	0.65	12640.5	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/08/2025	02:04:34	0.63	0.65	12640.4	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	01:54:34	0.65	0.65	12640.3	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/08/2025	01:44:34	0.63	0.65	12640.2	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	01:34:34	0.63	0.65	12640.1	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	01:24:34	0.65	0.65	12640.0	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/08/2025	01:14:34	0.63	0.65	12639.9	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	01:04:34	0.63	0.65	12639.8	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	00:54:34	0.63	0.65	12639.6	   	   	3.0	3.1	3.0	0.0	3.0	0.0	
02/08/2025	00:44:33	0.63	0.65	12639.5	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	00:34:33	0.65	0.65	12639.4	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/08/2025	00:24:33	0.63	0.65	12639.3	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/08/2025	00:14:33	0.63	0.63	12639.2	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/08/2025	00:04:33	0.63	0.63	12639.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	23:54:33	0.63	0.65	12639.0	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/07/2025	23:44:33	0.63	0.63	12638.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	23:34:33	0.63	0.63	12638.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	23:24:33	0.63	0.65	12638.7	   	   	3.0	3.1	2.9	0.0	3.0	0.0	
02/07/2025	23:14:33	0.65	0.65	12638.6	   	   	3.1	3.1	3.0	0.0	3.0	0.0	
02/07/2025	23:04:33	0.63	0.63	12638.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	22:54:33	0.63	0.63	12638.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	22:44:33	0.63	0.63	12638.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	22:34:33	0.63	0.63	12638.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	22:24:33	0.63	0.63	12638.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	22:14:33	0.63	0.63	12638.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	22:04:33	0.63	0.63	12637.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	21:54:33	0.63	0.63	12637.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	21:44:32	0.63	0.63	12637.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	21:34:32	0.63	0.63	12637.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	21:24:32	0.63	0.63	12637.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	21:14:32	0.63	0.63	12637.4	   	   	3.0	3.0	2.9	0.0	3.0	0.0	
02/07/2025	21:04:32	0.63	0.63	12637.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	20:54:32	0.63	0.63	12637.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	20:44:32	0.63	0.63	12637.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	20:34:32	0.63	0.63	12637.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	20:24:32	0.63	0.63	12636.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	20:14:32	0.63	0.63	12636.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	20:04:32	0.63	0.63	12636.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	19:54:32	0.63	0.63	12636.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	19:44:32	0.63	0.63	12636.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	19:34:32	0.63	0.63	12636.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	19:24:32	0.63	0.63	12636.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	19:14:32	0.63	0.63	12636.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	19:04:32	0.63	0.63	12636.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	18:54:32	0.63	0.63	12635.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	18:44:31	0.63	0.63	12635.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	18:34:31	0.63	0.63	12635.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	18:24:31	0.63	0.63	12635.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	18:14:31	0.63	0.63	12635.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	18:04:31	0.63	0.63	12635.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	17:54:31	0.63	0.63	12635.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	17:44:31	0.63	0.63	12635.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	17:34:31	0.63	0.63	12635.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	17:24:31	0.63	0.63	12635.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	17:14:31	0.63	0.63	12634.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	17:04:31	0.63	0.63	12634.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	16:54:31	0.63	0.63	12634.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	16:44:31	0.63	0.63	12634.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	16:34:31	0.63	0.63	12634.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	16:24:31	0.63	0.63	12634.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	16:14:31	0.63	0.63	12634.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	16:04:31	0.63	0.63	12634.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	15:54:31	0.63	0.63	12634.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	15:44:30	0.63	0.63	12634.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	15:34:30	0.63	0.63	12633.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	15:24:30	0.63	0.63	12633.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	15:14:30	0.63	0.63	12633.7	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	15:04:30	0.63	0.63	12633.6	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	14:54:30	0.63	0.63	12633.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	14:44:30	0.63	0.63	12633.4	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	14:34:30	0.63	0.63	12633.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	14:24:30	0.63	0.63	12633.2	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	14:14:30	0.63	0.63	12633.1	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	14:04:30	0.63	0.63	12633.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	13:54:30	0.63	0.63	12632.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	13:44:30	0.63	0.63	12632.8	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	13:34:30	0.61	0.63	12632.7	   	   	2.9	3.0	2.9	0.0	2.9	0.0	
02/07/2025	13:24:30	0.60	0.63	12632.6	   	   	2.9	3.0	2.9	0.0	2.9	0.0	
02/07/2025	13:14:30	0.63	0.63	12632.5	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	13:04:30	0.61	0.63	12632.4	   	   	2.9	3.0	2.9	0.0	2.9	0.0	
02/07/2025	12:54:30	0.63	0.63	12632.3	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	12:44:29	0.60	0.63	12632.1	   	   	2.9	3.0	2.9	0.0	2.9	0.0	
02/07/2025	12:34:29	0.63	0.63	12632.0	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
02/07/2025	12:24:29	0.63	0.63	12631.9	   	   	3.0	3.0	2.9	0.0	2.9	0.0	
